Run,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,Sitegroup,Region,geographic_location_.depth..m.,Site,latitude,longitude,Sample_Name
ERR4404446,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,2,SIL,67.51375,86.591957,SIL2AWT
ERR4404449,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,2,SIL,67.51375,86.591957,SIL2BWT
ERR4404462,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,4,SIL,67.52592,86.618864,SIL3AWT
ERR4404465,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,4,SIL,67.52592,86.618864,SIL3BWT
ERR4404468,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,1,SIL,67.524153,86.613244,SIL4AWT
ERR4404471,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,1,SIL,67.524153,86.613244,SIL4BWT
ERR4404472,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,NA,SIL,67.50515,86.603707,SIL5AWT
ERR4404473,Russia,Europe,Russia,Northwestern Siberian,Pan-Arctic,NA,SIL,67.50515,86.603707,SIL5BWT
ERR1742940,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.55,SAS,55.226528,-77.696917,SAS 2A
ERR1742941,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.15,SAS,55.226639,-77.696472,B1-B2
ERR1742942,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.15,SAS,55.226667,-77.69675,SAS 2B
ERR1742943,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.25,SAS,55.226806,-77.695611,SAS 2C
ERR1742944,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.45,SAS,55.226806,-77.694444,SAS 2D
ERR1742945,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.15,SAS,55.225667,-77.697167,G1
ERR1742946,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.1,SAS,55.225167,-77.697111,I1-I2
ERR1742949,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0.15,SAS,55.226111,-77.696472,C2-C4
ERR1742958,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.225667,-77.695833,I3
