	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU1568	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured	bacterium_YC-ZSS-LKJ199	OTU1568
OTU1569	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured		OTU1569
OTU1570	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured		OTU1570
OTU1571	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter		OTU1571
OTU1572	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU1572
OTU1573	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	metagenome	OTU1573
OTU1574	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales				OTU1574
OTU1575	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae			OTU1575
OTU1576	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichales	Microtrichales	metagenome	OTU1576
OTU1577	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichales	Microtrichales	metagenome	OTU1577
OTU1578	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales				OTU1578
OTU1579	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales				OTU1579
OTU1580	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU1580
OTU1581	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	uncultured_Nakamurellaceae	OTU1581
OTU1582	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella		OTU1582
OTU1583	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella		OTU1583
OTU1584	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	uncultured	actinobacterium_VeSm15	OTU1584
OTU1585	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Aestuariimicrobium		OTU1585
