	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU1	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium	OTU1
OTU2	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU2
OTU3	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU3
OTU4	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella		OTU4
OTU5	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacteraceae	Geobacter_sp.	OTU5
OTU6	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU6
OTU7	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU7
OTU8	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU8
OTU9	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU9
OTU10	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter		OTU10
OTU11	Bacteria							OTU11
OTU12	Bacteria							OTU12
OTU13	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU13
OTU14	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU14
OTU15	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	uncultured_bacterium	OTU15
OTU16	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_Armatimonadetes	OTU16
OTU17	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium	OTU17
OTU18	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium	OTU18
OTU19	Bacteria							OTU19
OTU20	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	soil_metagenome	OTU20
OTU21	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU21
OTU22	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU22
OTU23	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae			OTU23
OTU24	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_marine	OTU24
OTU25	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256		OTU25
OTU26	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU26
OTU27	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU27
OTU28	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU28
OTU29	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU29
OTU30	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_actinobacterium	OTU30
OTU31	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU31
OTU32	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU32
OTU33	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Actinomycetales	OTU33
OTU34	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Actinomycetales	OTU34
OTU35	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU35
OTU36	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU36
OTU37	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU37
OTU38	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU38
OTU39	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU39
OTU40	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae			OTU40
OTU41	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU41
OTU42	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU42
OTU43	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU43
OTU44	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI_clade		OTU44
OTU45	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU45
OTU46	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU46
OTU47	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU47
OTU48	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU48
OTU49	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU49
OTU50	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus		OTU50
OTU51	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		OTU51
OTU52	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		OTU52
OTU53	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		OTU53
OTU54	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		OTU54
OTU55	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		OTU55
OTU56	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella		OTU56
OTU57	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae			OTU57
OTU58	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae			OTU58
OTU59	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae			OTU59
OTU60	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales				OTU60
OTU61	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae			OTU61
OTU62	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae			OTU62
OTU63	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	T34	T34	uncultured_beta	OTU63
OTU64	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	denitrifying_bacterium	OTU64
OTU65	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured		OTU65
OTU66	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured		OTU66
OTU67	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Gammaproteobacteria_bacterium	OTU67
OTU68	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae			OTU68
OTU69	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		OTU69
OTU70	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		OTU70
OTU71	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		OTU71
OTU72	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Cavicella		OTU72
OTU73	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		OTU73
OTU74	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		OTU74
OTU75	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae			OTU75
OTU76	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	uncultured		OTU76
OTU77	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter		OTU77
OTU78	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter		OTU78
OTU79	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter		OTU79
OTU80	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter		OTU80
OTU81	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae			OTU81
OTU82	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU82
OTU83	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU83
OTU84	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU84
OTU85	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU85
OTU86	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU86
OTU87	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU87
OTU88	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas	uncultured_bacterium	OTU88
OTU89	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae			OTU89
OTU90	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae			OTU90
OTU91	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae			OTU91
OTU92	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		OTU92
OTU93	Bacteria	Proteobacteria	Gammaproteobacteria					OTU93
OTU94	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales				OTU94
OTU95	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas		OTU95
OTU96	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			OTU96
OTU97	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales				OTU97
OTU98	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae			OTU98
OTU99	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		OTU99
OTU100	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		OTU100
OTU101	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		OTU101
OTU102	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		OTU102
OTU103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae			OTU103
OTU104	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia		OTU104
OTU105	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae			OTU105
OTU106	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella		OTU106
OTU107	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		OTU107
OTU108	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae			OTU108
OTU109	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		OTU109
OTU110	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		OTU110
OTU111	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		OTU111
OTU112	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		OTU112
OTU113	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		OTU113
OTU114	Bacteria	Proteobacteria	Gammaproteobacteria					OTU114
OTU115	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family			OTU115
OTU116	Bacteria	Proteobacteria	Gammaproteobacteria					OTU116
OTU117	Bacteria	Proteobacteria	Gammaproteobacteria					OTU117
OTU118	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae			OTU118
OTU119	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	uncultured	Hypsibius_dujardini	OTU119
OTU120	Bacteria	Proteobacteria	Gammaproteobacteria					OTU120
OTU121	Bacteria	Proteobacteria	Gammaproteobacteria					OTU121
OTU122	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260		OTU122
OTU123	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260	uncultured_bacterium	OTU123
OTU124	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260	uncultured_bacterium	OTU124
OTU125	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	WD260	WD260	uncultured_bacterium	OTU125
OTU126	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84		OTU126
OTU127	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU127
OTU128	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			OTU128
OTU129	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			OTU129
OTU130	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Ferribacterium		OTU130
OTU131	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU131
OTU132	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU132
OTU133	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU133
OTU134	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU134
OTU135	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			OTU135
OTU136	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Gallionella		OTU136
OTU137	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU137
OTU138	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU138
OTU139	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Candidatus_Methylopumilus	uncultured_bacterium	OTU139
OTU140	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU140
OTU141	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU141
OTU142	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera		OTU142
OTU143	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera		OTU143
OTU144	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU144
OTU145	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU145
OTU146	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU146
OTU147	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae			OTU147
OTU148	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae			OTU148
OTU149	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	TRA3-20		OTU149
OTU150	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU150
OTU151	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU151
OTU152	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU152
OTU153	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			OTU153
OTU154	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU154
OTU155	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU155
OTU156	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU156
OTU157	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU157
OTU158	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU158
OTU159	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU159
OTU160	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU160
OTU161	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU161
OTU162	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU162
OTU163	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU163
OTU164	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU164
OTU165	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU165
OTU166	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU166
OTU167	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		OTU167
OTU168	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		OTU168
OTU169	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU169
OTU170	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU170
OTU171	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU171
OTU172	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU172
OTU173	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU173
OTU174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU174
OTU175	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		OTU175
OTU176	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		OTU176
OTU177	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	uncultured_beta	OTU177
OTU178	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tibeticola		OTU178
OTU179	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax		OTU179
OTU180	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU180
OTU181	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU181
OTU182	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU182
OTU183	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU183
OTU184	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU184
OTU185	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU185
OTU186	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		OTU186
OTU187	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		OTU187
OTU188	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU188
OTU189	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU189
OTU190	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU190
OTU191	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU191
OTU192	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU192
OTU193	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU193
OTU194	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU194
OTU195	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU195
OTU196	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU196
OTU197	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae			OTU197
OTU198	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas		OTU198
OTU199	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae			OTU199
OTU200	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU200
OTU201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU201
OTU202	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU202
OTU203	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU203
OTU204	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU204
OTU205	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU205
OTU206	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU206
OTU207	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		OTU207
OTU208	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU208
OTU209	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU209
OTU210	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU210
OTU211	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU211
OTU212	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU212
OTU213	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU213
OTU214	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU214
OTU215	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium		OTU215
OTU216	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		OTU216
OTU217	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU217
OTU218	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU218
OTU219	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU219
OTU220	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae			OTU220
OTU221	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Paludibacterium		OTU221
OTU222	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales				OTU222
OTU223	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98_freshwater_group		OTU223
OTU224	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		OTU224
OTU225	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	uncultured	metagenome	OTU225
OTU226	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	uncultured_bacterium	OTU226
OTU227	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae			OTU227
OTU228	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		OTU228
OTU229	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Arcanobacter	Candidatus_Arcanobacter	OTU229
OTU230	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured	uncultured_bacterium	OTU230
OTU231	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55		OTU231
OTU232	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	metagenome	OTU232
OTU233	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	metagenome	OTU233
OTU234	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12		OTU234
OTU235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12		OTU235
OTU236	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12		OTU236
OTU237	Bacteria	Proteobacteria	Alphaproteobacteria					OTU237
OTU238	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12		OTU238
OTU239	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	metagenome	OTU239
OTU240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium		OTU240
OTU241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			OTU241
OTU242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	uncultured		OTU242
OTU243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			OTU243
OTU244	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured		OTU244
OTU245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured		OTU245
OTU246	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured		OTU246
OTU247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured		OTU247
OTU248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI_cluster		OTU248
OTU249	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae			OTU249
OTU250	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				OTU250
OTU251	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus		OTU251
OTU252	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus		OTU252
OTU253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	uncultured_bacterium	OTU253
