	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
Z14.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z14	QZR	0-20	34.89500556	92.94111389	Z14.H2	18.58013733	0.468241964	4.606	306.9	-4.03	9.79
Z14.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z14	QZR	0-20	34.89500556	92.94111389	Z14.H3	15.36570996	0.279843887	1.8424	306.9	-4.03	8.81
Z14.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z14	QZR	0-20	34.89500556	92.94111389	Z14.H4	18.99174202	1.669146514	19.5755	306.9	-4.03	9.47
Z15.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z15	QZR	0-20	34.82599444	92.94858333	Z15.H1	5.334849722	2.286849797	7.3696	306.9	-4.03	8.81
Z15.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z15	QZR	0-20	34.82599444	92.94858333	Z15.H2	8.202663895	1.49951286	7.5999	306.9	-4.03	9.51
Z15.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z15	QZR	0-20	34.82599444	92.94858333	Z15.H3	7.172894449	1.296547728	5.5272	306.9	-4.03	8.31
Z15.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z15	QZR	0-20	34.82599444	92.94858333	Z15.H4	4.275040953	0.77192243	2.5333	306.9	-4.03	8.82
Z15.H5	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z15	QZR	0-20	34.82599444	92.94858333	Z15.H5	5.041422501	1.309154311	3.4545	306.9	-4.03	8.82
Z16.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z16	QZR	0-20	34.4648	92.72076944	Z16.H1	5.499858232	0.581833179	1.1515	309.23	-3.57	8.65
Z16.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z16	QZR	0-20	34.4648	92.72076944	Z16.H2	5.949543695	0.806784561	3.2242	309.23	-3.57	8.84
Z16.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z16	QZR	0-20	34.4648	92.72076944	Z16.H3	6.63050016	0.422290918	1.3818	309.23	-3.57	8.57
Z16.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z16	QZR	0-20	34.4648	92.72076944	Z16.H4	14.14370352	0.212108519	1.3818	309.23	-3.57	8.9
Z17.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z17	QZR	0-20	34.38382222	92.82587778	Z17.H1	3.390359718	2.212154646	5.0666	320.1	-3.53	9.45
Z17.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z17	QZR	0-20	34.38382222	92.82587778	Z17.H2	3.813012237	1.494881119	3.6848	320.1	-3.53	8.52
Z17.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z17	QZR	0-20	34.38382222	92.82587778	Z17.H3	4.277778467	0.888311545	2.303	320.1	-3.53	9.65
Z17.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z17	QZR	0-20	34.38382222	92.82587778	Z17.H4	5.364229107	1.528644627	5.7575	320.1	-3.53	10.01
Z18.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z18	QZR	0-20	34.29016389	92.99989167	Z18.H1	3.204306573	1.310736006	2.7636	331.97	-3.27	9.1
Z18.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z18	QZR	0-20	34.29016389	92.99989167	Z18.H2	3.381902757	0.768797978	1.3818	331.97	-3.27	9.32
Z18.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z18	QZR	0-20	34.29016389	92.99989167	Z18.H3	5.562014451	0.701184802	2.303	331.97	-3.27	9.05
Z18.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z18	QZR	0-20	34.29016389	92.99989167	Z18.H4	10.48560344	0.190737711	0.9212	331.97	-3.27	9.1
Z19.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z19	QZR	0-20	34.29619444	92.66286944	Z19.H1	16.67922756	0.953281556	4.1454	311.37	-3.3	9.59
Z19.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z19	QZR	0-20	34.29619444	92.66286944	Z19.H2	2.73961367	1.168047902	1.6121	311.37	-3.3	8.35
Z19.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z19	QZR	0-20	34.29619444	92.66286944	Z19.H3	11.74551955	0.19581935	0.4606	311.37	-3.3	9.39
Z19.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z19	QZR	0-20	34.29619444	92.66286944	Z19.H4	5.826306707	0.257452976	0.4606	311.37	-3.3	8.78
Z2.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z2	QL	0-20	37.72274167	100.5625417	Z2.H1	8.96044183	5.245277062	43.9873	413.67	0.83	7.9
Z2.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z2	QL	0-20	37.72274167	100.5625417	Z2.H2	8.348778674	6.036811127	49.2842	413.67	0.83	7.56
Z2.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z2	QL	0-20	37.72274167	100.5625417	Z2.H3	8.768278165	6.204182735	50.8963	413.67	0.83	7.6
Z2.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z2	QL	0-20	37.72274167	100.5625417	Z2.H4	9.1470327	7.565294918	69.3203	413.67	0.83	7.83
Z20.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z20	QZR	0-20	34.27698056	92.48201389	Z20.H1	4.966311977	1.409496631	4.1454	295.67	-3.3	9.14
Z20.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z20	QZR	0-20	34.27698056	92.48201389	Z20.H2	5.222049503	0.880880198	2.7636	295.67	-3.3	8.74
Z20.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z20	QZR	0-20	34.27698056	92.48201389	Z20.H3	6.234587281	1.52375764	5.5272	295.67	-3.3	9.16
Z20.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z20	QZR	0-20	34.27698056	92.48201389	Z20.H4	6.15119089	1.446874298	7.1393	295.67	-3.3	9.83
Z21.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z21	QZR	0-20	34.11014722	92.39175	Z21.H1	7.07204641	1.880643767	10.1332	302.47	-3.1	8.11
Z21.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z21	QZR	0-20	34.11014722	92.39175	Z21.H2	6.603149467	1.832458899	9.212	302.47	-3.1	7.69
Z21.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z21	QZR	0-20	34.11014722	92.39175	Z21.H3	6.635999629	1.883664964	9.4423	302.47	-3.1	7.73
Z21.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z21	QZR	0-20	34.11014722	92.39175	Z21.H4	6.080919898	1.907606118	9.212	302.47	-3.1	7.81
Z22.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z22	QZR	0-20	34.06011111	92.31974167	Z22.H1	14.11708609	2.373010959	27.8663	313.73	-2.9	8.77
Z22.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z22	QZR	0-20	34.06011111	92.31974167	Z22.H2	12.29610194	2.236481134	22.5694	313.73	-2.9	8.52
Z22.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z22	QZR	0-20	34.06011111	92.31974167	Z22.H3	13.15240591	1.528237505	16.8119	313.73	-2.9	8.43
Z22.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z22	QZR	0-20	34.06011111	92.31974167	Z22.H4	14.2816302	1.477422374	17.2725	313.73	-2.9	8.11
Z23.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z23	QZR	0-20	33.8441	92.35836	Z23.H1	10.04009757	1.543809698	12.8968	336.63	-2.8	9.21
Z23.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z23	QZR	0-20	33.8441	92.35836	Z23.H2	8.284276014	0.893258504	6.2181	336.63	-2.8	8.72
Z23.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z23	QZR	0-20	33.8441	92.35836	Z23.H3	8.036262187	0.908382508	5.9878	336.63	-2.8	8.34
Z23.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z23	QZR	0-20	33.8441	92.35836	Z23.H4	9.994317547	0.720409369	5.9878	336.63	-2.8	9.43
Z24.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z24	QZR	0-20	33.745276	92.17572	Z24.H1	9.00172451	1.710783304	12.8968	343.6	-2.77	8.46
Z24.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z24	QZR	0-20	33.745276	92.17572	Z24.H2	7.629692559	1.690762754	11.0544	343.6	-2.77	8.23
Z24.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z24	QZR	0-20	33.745276	92.17572	Z24.H3	10.50461938	1.513619811	12.6665	343.6	-2.77	8.32
Z24.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z24	QZR	0-20	33.745276	92.17572	Z24.H4	10.70389569	1.803081846	15.4301	343.6	-2.77	8.32
Z25.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z25	QZR	0-20	32.68784722	91.87671111	Z25.H1	12.56511151	1.3927453	12.4362	439.1	-1.9	10.06
Z25.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z25	QZR	0-20	32.68784722	91.87671111	Z25.H2	14.83106381	1.773305026	19.3452	439.1	-1.9	9.42
Z25.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z25	QZR	0-20	32.68784722	91.87671111	Z25.H3	11.00683088	1.599007034	11.2847	439.1	-1.9	9.58
Z25.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z25	QZR	0-20	32.68784722	91.87671111	Z25.H4	6.495702066	1.693427422	7.5999	439.1	-1.9	10.15
Z26.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z26	QZR	0-20	32.57216111	91.85865556	Z26.H1	9.25621549	1.890621498	12.4362	444.93	-1.8	9.64
Z26.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z26	QZR	0-20	32.57216111	91.85865556	Z26.H2	13.38059721	1.973006106	18.1937	444.93	-1.8	10.13
Z26.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z26	QZR	0-20	32.57216111	91.85865556	Z26.H3	11.55445578	2.587746284	23.4906	444.93	-1.8	8.66
Z26.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z26	QZR	0-20	32.57216111	91.85865556	Z26.H4	17.38807244	3.358624149	47.2115	444.93	-1.8	7.83
Z27.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z27	QZR	0-20	32.900936	91.94164	Z27.H1	3.213472355	1.431473338	4.1454	418.6	-2.13	8.64
Z27.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z27	QZR	0-20	32.900936	91.94164	Z27.H2	7.404141007	2.066411213	11.2847	418.6	-2.13	8.52
Z27.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z27	QZR	0-20	32.900936	91.94164	Z27.H3	6.437358811	2.345682514	11.7453	418.6	-2.13	9.66
Z27.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z27	QZR	0-20	32.900936	91.94164	Z27.H4	3.810201397	1.994645219	5.9878	418.6	-2.13	8.71
Z27.H5	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z27	QZR	0-20	32.900936	91.94164	Z27.H5	6.065888016	2.027732785	8.9817	418.6	-2.13	8.55
Z28.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z28	QZR	0-20	32.41256944	91.80465278	Z28.H1	5.530141974	1.066880385	3.9151	449.8	-1.7	8.45
Z28.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z28	QZR	0-20	32.41256944	91.80465278	Z28.H2	5.806093104	1.188406709	5.0666	449.8	-1.7	8.3
Z28.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z28	QZR	0-20	32.41256944	91.80465278	Z28.H3	4.806349871	1.061096287	3.2242	449.8	-1.7	8.79
Z28.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z28	QZR	0-20	32.41256944	91.80465278	Z28.H4	3.713348752	1.508072733	3.6848	449.8	-1.7	8.52
Z29.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z29	QZR	0-20	32.785564	91.90328	Z29.H1	6.160135806	1.67204106	7.5999	433.83	-1.97	8.36
Z29.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z29	QZR	0-20	32.785564	91.90328	Z29.H2	6.212454087	1.738443431	7.1393	433.83	-1.97	8.45
Z29.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z29	QZR	0-20	32.785564	91.90328	Z29.H3	5.878562997	1.17375624	5.2969	433.83	-1.97	8.07
Z29.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z29	QZR	0-20	32.785564	91.90328	Z29.H4	6.934975202	1.153572979	5.5272	433.83	-1.97	7.91
Z3.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z3	QL	0-20	38.82809722	98.97344722	Z3.H1	7.470281286	3.882049268	23.2603	293.67	-0.03	8.72
Z3.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z3	QL	0-20	38.82809722	98.97344722	Z3.H2	8.716240967	3.877818446	22.5694	293.67	-0.03	9.69
Z3.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z3	QL	0-20	38.82809722	98.97344722	Z3.H3	12.27982351	3.973998483	27.636	293.67	-0.03	10.18
Z3.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z3	QL	0-20	38.82809722	98.97344722	Z3.H4	9.08639189	3.730853832	23.7209	293.67	-0.03	10.79
Z30.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z30	QZR	0-20	32.088425	91.672575	Z30.H1	12.74344096	1.867627439	17.2725	456.73	-1.27	8.05
Z30.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z30	QZR	0-20	32.088425	91.672575	Z30.H2	14.05825399	1.664502577	16.8119	456.73	-1.27	8.13
Z30.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z30	QZR	0-20	32.088425	91.672575	Z30.H3	7.573695744	1.46559888	7.8302	456.73	-1.27	8.2
Z30.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z30	QZR	0-20	32.088425	91.672575	Z30.H4	9.242601249	1.114404887	7.1393	456.73	-1.27	8.5
Z31.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z31	QZR	0-20	31.558526	91.940592	Z31.H1	32.0150955	2.398868371	58.7265	455.77	-0.4	9.82
Z31.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z31	QZR	0-20	31.558526	91.940592	Z31.H2	26.59794751	3.180696554	69.3203	455.77	-0.4	8.44
Z31.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z31	QZR	0-20	31.558526	91.940592	Z31.H3	28.20464791	3.55969698	80.8353	455.77	-0.4	8.62
Z31.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z31	QZR	0-20	31.558526	91.940592	Z31.H4	45.78156167	2.27165689	87.2837	455.77	-0.4	8.36
Z31.H5	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z31	QZR	0-20	31.558526	91.940592	Z31.H5	45.54249364	3.0894224	116.0712	455.77	-0.4	8.54
Z32.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z32	QZR	0-20	31.17636111	91.76211944	Z32.H1	13.16037403	2.765878835	28.0966	475.6	0.07	7.95
Z32.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z32	QZR	0-20	31.17636111	91.76211944	Z32.H2	17.64195237	2.641431006	32.7026	475.6	0.07	9.67
Z32.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z32	QZR	0-20	31.17636111	91.76211944	Z32.H3	15.83167385	2.438150278	29.2481	475.6	0.07	8.27
Z32.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z32	QZR	0-20	31.17636111	91.76211944	Z32.H4	21.2016975	3.046925841	48.5933	475.6	0.07	8
Z33.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z33	QZR	0-20	31.30514722	91.836175	Z33.H1	19.11527232	3.274868334	54.1205	464.9	-0.13	8.14
Z33.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z33	QZR	0-20	31.30514722	91.836175	Z33.H2	20.28736802	2.030820359	33.3935	464.9	-0.13	8.55
Z33.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z33	QZR	0-20	31.30514722	91.836175	Z33.H3	19.52734141	3.472054826	58.4962	464.9	-0.13	8.13
Z33.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z33	QZR	0-20	31.30514722	91.836175	Z33.H4	18.80532225	2.414210158	39.8419	464.9	-0.13	8.12
Z34.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z34	QZR	0-20	31.64054444	92.06413333	Z34.H1	10.55433458	2.302371582	17.2725	460.5	-0.47	10.6
Z34.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z34	QZR	0-20	31.64054444	92.06413333	Z34.H2	8.402037976	1.832888645	11.0544	460.5	-0.47	8.41
Z34.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z34	QZR	0-20	31.64054444	92.06413333	Z34.H3	13.84700106	3.271466493	36.1571	460.5	-0.47	8.85
Z34.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z34	QZR	0-20	31.64054444	92.06413333	Z34.H4	13.11266308	2.775942596	28.7875	460.5	-0.47	10.23
Z35.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z35	QZR	0-20	31.84295	92.08031667	Z35.H1	11.19789465	2.696935534	23.7209	464	-0.83	9.99
Z35.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z35	QZR	0-20	31.84295	92.08031667	Z35.H2	13.26897021	2.509614497	26.4845	464	-0.83	9.92
Z35.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z35	QZR	0-20	31.84295	92.08031667	Z35.H3	13.4442444	2.71491643	28.7875	464	-0.83	9.14
Z35.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z35	QZR	0-20	31.84295	92.08031667	Z35.H4	11.46533994	3.026512967	29.4784	464	-0.83	8.34
Z36.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z36	QZR	0-20	31.366984	91.986672	Z36.H1	21.72444036	2.688216545	42.8358	466.87	-0.13	9.68
Z36.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z36	QZR	0-20	31.366984	91.986672	Z36.H2	11.64911997	3.691265959	38.4601	466.87	-0.13	9.39
Z36.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z36	QZR	0-20	31.366984	91.986672	Z36.H3	38.8792882	3.863239451	121.1378	466.87	-0.13	9.93
Z36.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z36	QZR	0-20	31.366984	91.986672	Z36.H4	17.64263675	2.295575235	27.636	466.87	-0.13	10.34
Z37.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z37	QZR	0-20	31.72627778	91.80868056	Z37.H1	12.03249406	3.191358318	33.3935	456.53	-0.77	8.2
Z37.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z37	QZR	0-20	31.72627778	91.80868056	Z37.H2	10.26322936	2.796390785	24.4118	456.53	-0.77	8.19
Z37.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z37	QZR	0-20	31.72627778	91.80868056	Z37.H3	16.44001288	3.278586239	45.1388	456.53	-0.77	8.66
Z37.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z37	QZR	0-20	31.72627778	91.80868056	Z37.H4	11.36603175	2.824204674	24.8724	456.53	-0.77	9.68
Z38.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z38	MD	0-20	34.91847222	98.51706667	Z38.H1	8.079231371	1.312005996	6.6787	351.43	-1.87	10.25
Z38.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z38	MD	0-20	34.91847222	98.51706667	Z38.H2	12.27175762	1.703097522	11.0544	351.43	-1.87	10.06
Z38.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z38	MD	0-20	34.91847222	98.51706667	Z38.H3	9.900753249	1.656439625	7.8302	351.43	-1.87	9.46
Z38.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z38	MD	0-20	34.91847222	98.51706667	Z38.H4	7.704631989	0.804710726	3.9151	351.43	-1.87	10.84
Z39.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z39	MD	0-20	34.71901667	99.08158333	Z39.H1	14.64019557	2.479475074	27.1754	409.03	-1.03	8.09
Z39.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z39	MD	0-20	34.71901667	99.08158333	Z39.H2	16.57815954	2.400749004	27.8663	409.03	-1.03	8.34
Z39.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z39	MD	0-20	34.71901667	99.08158333	Z39.H3	11.71770446	2.517557949	22.7997	409.03	-1.03	8.18
Z39.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z39	MD	0-20	34.71901667	99.08158333	Z39.H4	12.00062158	2.541535019	23.4906	409.03	-1.03	8.17
Z40.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z40	MD	0-20	34.76693056	98.11316667	Z40.H1	4.270641378	2.177658852	7.3696	358.87	-2.93	8.62
Z40.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z40	MD	0-20	34.76693056	98.11316667	Z40.H2	4.774857132	2.157132604	8.0605	358.87	-2.93	8.62
Z40.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z40	MD	0-20	34.76693056	98.11316667	Z40.H3	4.772632902	2.304807477	8.7514	358.87	-2.93	8.62
Z40.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z40	MD	0-20	34.76693056	98.11316667	Z40.H4	4.534982518	1.962521347	7.1393	358.87	-2.93	8.9
Z41.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z41	MD	0-20	34.58252778	97.99160278	Z41.H1	24.64737143	2.588511322	45.1388	389.67	-3.07	8.38
Z41.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z41	MD	0-20	34.58252778	97.99160278	Z41.H2	27.87854163	2.467847885	49.7448	389.67	-3.07	8.19
Z41.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z41	MD	0-20	34.58252778	97.99160278	Z41.H3	28.39417183	2.102544154	43.5267	389.67	-3.07	8.27
Z41.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z41	MD	0-20	34.58252778	97.99160278	Z41.H4	28.72435995	2.161928068	46.5206	389.67	-3.07	8.2
Z42.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z42	MD	0-20	34.24403056	97.84098333	Z42.H1	14.23235496	2.936970032	32.9329	436.73	-3.17	9.22
Z42.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z42	MD	0-20	34.24403056	97.84098333	Z42.H2	19.68262197	3.205873693	51.1266	436.73	-3.17	9.2
Z42.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z42	MD	0-20	34.24403056	97.84098333	Z42.H3	20.9389451	3.271415999	56.8841	436.73	-3.17	7.96
Z42.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z42	MD	0-20	34.24403056	97.84098333	Z42.H4	20.41835315	3.144230073	53.4296	436.73	-3.17	7.84
Z43.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z43	MD	0-20	34.43639444	97.94691944	Z43.H1	7.489003923	2.243288984	13.818	405.63	-3.1	8.52
Z43.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z43	MD	0-20	34.43639444	97.94691944	Z43.H2	5.708153673	1.646767158	7.5999	405.63	-3.1	8.29
Z43.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z43	MD	0-20	34.43639444	97.94691944	Z43.H3	8.561131501	2.324459097	15.6604	405.63	-3.1	8.5
Z43.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z43	MD	0-20	34.43639444	97.94691944	Z43.H4	6.569077202	2.466099804	12.6665	405.63	-3.1	8.15
Z44.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z44	MD	0-20	34.67236944	98.09344444	Z44.H1	6.756132472	2.116595561	11.0544	373.97	-2.97	9.86
Z44.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z44	MD	0-20	34.67236944	98.09344444	Z44.H2	7.315660662	1.530962208	7.3696	373.97	-2.97	7.97
Z44.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z44	MD	0-20	34.67236944	98.09344444	Z44.H3	6.535713757	1.866666818	9.6726	373.97	-2.97	8.31
Z44.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z44	MD	0-20	34.67236944	98.09344444	Z44.H4	8.519775495	2.582227667	16.8119	373.97	-2.97	8.12
Z45.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z45	MD	0-20	34.81506944	98.38938889	Z45.H1	6.331402376	2.4797034	12.2059	350.8	-2.53	9.95
Z45.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z45	MD	0-20	34.81506944	98.38938889	Z45.H2	5.713628699	2.117743493	9.212	350.8	-2.53	9.99
Z45.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z45	MD	0-20	34.81506944	98.38938889	Z45.H3	5.641768972	2.765090183	11.7453	350.8	-2.53	9.91
Z45.H4	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z45	MD	0-20	34.81506944	98.38938889	Z45.H4	6.181401306	3.106091815	17.9634	350.8	-2.53	9.21
Z46.H1	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z46	MD	0-20	34.55054167	99.14456389	Z46.H1	18.38464954	2.322589828	28.3269	438.87	-1	8.42
Z46.H2	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z46	MD	0-20	34.55054167	99.14456389	Z46.H2	21.0355891	2.880832085	46.5206	438.87	-1	10.43
Z46.H3	China	Asia	Tibet	Tibetan Plateau	Tibetan Plateau	Z46	MD	0-20	34.55054167	99.14456389	Z46.H3	24.46564453	2.133604121	36.6177	438.87	-1	9.1
