	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
ERR4650806	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	25	70.84089	147.46851	B10-2_BAC	75.43	2.701872249	203.4000568	209	-13.92	5
ERR4650807	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83487	147.42218	A05-2_BAC	23.83	2.21922434	47.18892162	209	-13.91	5.5
ERR4650808	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83511	147.42378	A04-2_BAC	19.72	2.201275812	39.27743931	209	-13.91	5
ERR4650809	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83504	147.41971	A07-2_BAC	23.38	2.275932918	50.34087052	209	-13.91	5
ERR4650810	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	20	70.84275	147.45851	B01bb-1_BAC	35.43	2.743686805	92.72058624	211	-13.93	5
ERR4650811	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	30	70.84298	147.46222	B06-2_BAC	39.77	2.669440136	101.1739509	211	-13.93	5
ERR4650812	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	20	70.83977	147.46613	B08-1_BAC	72.56	2.610090731	163.9239275	210	-13.92	5
ERR4650813	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	A	North_East Siberia	20	70.83504	147.41971	A07-1_BAC	23.19	2.275932918	48.43525087	209	-13.91	5
ERR4650814	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	20	70.84275	147.45851	B01-2_BAC	33.01	2.981775155	96.80728231	211	-13.93	5
ERR4650815	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	25	70.84078	147.46773	B09-2_BAC	64.1	2.887341793	184.0638882	209	-13.92	5
ERR4650816	Russia	Europe	Russia	Northeastern Siberia	Pan-Arctic	B	North_East Siberia	20	70.84309	147.45889	B02-2_BAC	80.09	2.838669242	216.0304314	211	-13.93	5
ERR2348819	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.32299	-133.846	C4		1.885843111		238	-8.76	6.46
ERR2348820	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.3117	-133.72665	C5		1.983913743		242	-8.71	7.43
ERR2348822	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.32299	-133.846	D1		1.877328431		238	-8.76	6.78
ERR2348827	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.3117	-133.72665	D6		1.90157196		242	-8.71	6.95
ERR2348831	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.32299	-133.846	E4		2.469265951		238	-8.76	8.38
ERR2348833	Canada	North America	Canada	Western Canadian Arctic	Pan-Arctic	C	western Canadian Arctic	10	68.3117	-133.72665	E6		2.166413285		242	-8.71	7.2
ERR4404440	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.53515	86.633933	SIL1AWT		3.9		510	-8.42	7.06
ERR4404443	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.53515	86.633933	SIL1BWT		2.6		510	-8.42	7.11
ERR4404446	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	200	67.51375	86.591957	SIL2AWT				510	-8.32	7.3
ERR4404449	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	200	67.51375	86.591957	SIL2BWT	10.12	3.6		510	-8.32	6.86
ERR4404462	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	400	67.52592	86.618864	SIL3AWT	2.606	2.6		509	-8.38	7.7
ERR4404465	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	400	67.52592	86.618864	SIL3BWT	7.3885	1.1		509	-8.38	7.7
ERR4404468	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.524153	86.613244	SIL4AWT	10.19	4.6		509	-8.38	7.01
ERR4404471	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.524153	86.613244	SIL4BWT	10.41	4.5		509	-8.38	6.29
ERR4404472	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.50515	86.603707	SIL5AWT				507	-8.32	
ERR4404473	Russia	Europe	Russia	Northwestern Siberia	Pan-Arctic	SIL	Northwestern Siberian	100	67.50515	86.603707	SIL5BWT				507	-8.32	
ERR1742940	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	55	55.226528	-77.696917	SAS 2A	12.3	0.623	70.8	644	-3.79	6.25
ERR1742941	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	15	55.226639	-77.696472	B1-B2	28	1.338	148.8	644	-3.79	4.86
ERR1742942	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	15	55.226667	-77.69675	SAS 2B	18.6	0.967	109.2	644	-3.79	6.04
ERR1742943	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	25	55.226806	-77.695611	SAS 2C	12.6	0.621	69.5	644	-3.79	6.38
ERR1742944	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	45	55.226806	-77.694444	SAS 2D	12.3	0.447	49.2	644	-3.79	6.16
ERR1742945	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	15	55.225667	-77.697167	G1	30	1.451	159.4	644	-3.79	4.5
ERR1742946	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	10	55.225167	-77.697111	I1-I2	37	1.953	232.7	644	-3.79	6.21
ERR1742949	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	15	55.226111	-77.696472	C2-C4	21	1.056	118.9	644	-3.79	4.87
ERR1742958	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	0	55.225667	-77.695833	I3	34	1.604	175.3	644	-3.79	4.75
ERR1742960	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	0	55.225611	-77.695889	J1 (B4)	27	1.237	136.7	644	-3.79	4.24
ERR1742965	Canada	North America	Canada	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	0	55.226417	-77.695722	C5	39	1.888	208.9	644	-3.79	4.44
SRR1515998	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.2	BGR_A_Small	3.5			593	-4.08	7.38
SRR1515999	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.216	BGR_B_Small	8.6	5.13		589	-4.07	7.3
SRR1516000	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.215	BGR_C_Small				589	-4.07	
SRR1516001	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.214	BGR_D_Small	6.4	4.38		589	-4.07	6.6
SRR1516002	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.217	BGR_F_Small	3.1	8.19		589	-4.07	6.6
SRR1516003	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.2166	BGR_G_Small	1.95	6.16		592	-4.08	6.5
SRR1516004	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	BGR	Quebec sporadic permafrost zone	50	56.6	-76.2163	BGR_H_Small	5.3	5.7		589	-4.07	6.7
SRR1516005	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.3	-77.5	KWK_1_Small	12	4.66		589	-4.07	6.7
SRR1516006	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.3	-77.503	KWK_11_Small	12	5.67		644	-3.73	6.8
SRR1516007	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.3	-77.504	KWK_12_Small	9.3	4.67		641	-3.72	8.3
